[0903/160639.660:ERROR:cache_util_win.cc(20)] Unable to move the cache: Acceso denegado. (0x5)
[0903/160639.661:ERROR:disk_cache.cc(205)] Unable to create cache
[0903/160639.661:ERROR:gpu_disk_cache.cc(673)] Gpu Cache Creation failed: -2
[0903/160640.974:WARNING:cache_util.cc(137)] Unable to delete cache folder.
[0903/160642.208:INFO:CONSOLE(150)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yP/r/h7F7InfnF3R.js?_nc_x=Ij3Wp8lg5Kz (150)
[0903/160651.662:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0903/160651.703:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0903/160651.703:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0903/160651.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0903/160651.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0903/160651.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0903/160651.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0903/160651.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0903/160651.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0903/160651.705:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0903/160704.130:INFO:CONSOLE(150)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yq/r/YLJEFNx8aLK.js?_nc_x=Ij3Wp8lg5Kz (150)
[0903/160711.034:INFO:CONSOLE(342)] "WAWebLoggerWorker initialized", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160711.036:INFO:CONSOLE(342)] "[storage] start setSchemaVersions from fts worker interface", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160711.036:INFO:CONSOLE(342)] "[storage] set schema versions: [model-storage,158,fts-storage,8,jobs-storage,1,lru-media-storage-idb,2,offd-storage,4,qpl-storage,0,signal-storage,6,worker-storage,1,sw,2,wawc,14,wawc_db_enc,2]. is worker? true", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160726.277:INFO:CONSOLE(342)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160726.278:INFO:CONSOLE(342)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160726.280:INFO:CONSOLE(342)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160726.282:INFO:CONSOLE(342)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160738.942:INFO:CONSOLE(342)] "FTS:Delegate: after db initialization", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160738.955:INFO:CONSOLE(342)] "FTS:Manifest Writer: No changes made, current:['3.1', '1'], latest:['3.1', '1']", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160738.957:INFO:CONSOLE(342)] "FTS:Delegate: Inited", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160738.958:INFO:CONSOLE(342)] "FTS:Delegate: Init indexing ops", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160739.005:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
[0903/160739.011:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/yC/r/HVZpyiS0hNI.js?_nc_x=Ij3Wp8lg5Kz (342)
